companyFullName,companyLabelList,financeStage,companySize,city,salary,secondType,workYear,education,positionName,positionLables,positionAdvantage,maxsalary,minsalary,avesalary,name,belong
顺丰科技有限公司,"['技能培训', '节日礼物', '带薪年假', '岗位晋升']",不需要融资,2000人以上,深圳,25k-40k,交互,5-10年,本科,XSY-高级交互设计师,"['设计', '网页交互', '交互', '用户体验']",高并发、体量大、平台稳定、流程规范,40k,25k,32.5,网页交互设计师,交互设计
上海沐传工业设计有限公司,"['带薪年假', '定期体检', '午餐补助', '绩效奖金']",A轮,50-150人,上海,18k-36k,交互,3-5年,本科,资深交互设计师,['交互'],"超酷的团队,超酷的项目",36k,18k,27.0,网页交互设计师,交互设计
思特沃克软件技术（成都）有限公司,"['技能培训', '节日礼物', '带薪年假', '全球化视野']",不需要融资,2000人以上,成都,15k-25k,交互,3-5年,本科,高级交互设计师-成都,"['企业服务', '交互', '用户体验', '界面设计', 'Sketch']",持续行业影响力，全服务流程设计,25k,15k,20.0,网页交互设计师,交互设计
广州灵犀广告有限公司,['无特殊要求'],未融资,少于15人,广州,5k-10k,交互,1-3年,大专,设计师,"['PS', '设计', 'Css']",8小时工作制，双休，带薪假日。,10k,5k,7.5,网页交互设计师,交互设计
广州乐投广告有限公司,['无特殊要求'],未融资,15-50人,广州,6k-8k,交互,1-3年,大专,设计师,['广告营销'],打开你的脑洞，奇思妙想，天马行空,8k,6k,7.0,网页交互设计师,交互设计
口碑（杭州）信息技术有限公司,['无特殊要求'],不需要融资,2000人以上,杭州,15k-30k,交互,应届毕业生,本科,体验设计师,"['用户体验', '交互', 'UI']","专业培养,学习环境",30k,15k,22.5,网页交互设计师,交互设计
顺丰科技有限公司,"['技能培训', '节日礼物', '带薪年假', '岗位晋升']",不需要融资,2000人以上,深圳,15k-30k,交互,5-10年,本科,XSY-交互设计师（请附带作品集）,"['交互', '用户体验']",福利氛围好、线上活动运营、互联网程度高,30k,15k,22.5,网页交互设计师,交互设计
西安快啊网络科技有限公司,['无特殊要求'],未融资,15-50人,西安,8k-15k,交互,1-3年,大专,设计师,"['企业服务', '电商', '用户体验', '设计']",高薪，社保,15k,8k,11.5,网页交互设计师,交互设计
上海微创软件股份有限公司,"['绩效奖金', '带薪年假', '定期体检', '弹性工作']",不需要融资,2000人以上,杭州,15k-30k,交互,5-10年,本科,ued设计师,"['电商', '企业服务', '交互', '用户体验', 'UI', '界面设计']",六险一金,30k,15k,22.5,网页交互设计师,交互设计
腾讯科技（深圳）有限公司,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",上市公司,2000人以上,深圳,15k-30k,交互,3-5年,本科,腾讯视频TV端交互设计师（深圳）,['交互'],鹅厂大平台 同事牛人多,30k,15k,22.5,无线交互设计师,交互设计
贝壳找房（北京）科技有限公司,"['股票期权', '带薪年假', '绩效奖金', '扁平管理']",上市公司,2000人以上,北京,25k-50k,交互,5-10年,本科,资深交互设计师,['交互'],免费三餐 发展空间大,50k,25k,37.5,网页交互设计师,交互设计
上海汽车集团股份有限公司乘用车分公司,"['专项奖金', '绩效奖金', '带薪年假', '定期体检']",上市公司,2000人以上,上海,15k-30k,交互,5-10年,本科,交互设计师,"['汽车', '硬件交互', '界面设计', '交互', '移动交互']",世界500强,30k,15k,22.5,网页交互设计师,交互设计
上海易路软件有限公司,"['技能培训', '年底双薪', '绩效奖金', '岗位晋升']",C轮,150-500人,上海,20k-35k,交互,3-5年,本科,高级UED设计师,['B端产品'],弹性工作 股权激励 带薪年假 团建旅游,35k,20k,27.5,网页交互设计师,交互设计
上海艺土界面设计有限公司,"['技能培训', '节日礼物', '年底双薪', '带薪年假']",不需要融资,50-150人,北京,7k-10k,交互,应届毕业生,硕士,交互设计师,"['移动互联网', '金融', '用户体验', '移动交互', '网页交互', 'Sketch']",年度旅游季度奖金 五险一金 全年13薪,10k,7k,8.5,无线交互设计师,交互设计
上海沐传工业设计有限公司,"['带薪年假', '定期体检', '午餐补助', '绩效奖金']",A轮,50-150人,上海,18k-36k,交互,3-5年,本科,资深交互设计师,['交互'],超酷的团队，超酷的项目,36k,18k,27.0,网页交互设计师,交互设计
顺丰科技有限公司,"['技能培训', '节日礼物', '带薪年假', '岗位晋升']",不需要融资,2000人以上,深圳,20k-35k,交互,5-10年,本科,SZH-高级交互设计师,"['交互', 'UI', '界面设计']",大平台、五险一金、全流程设计、敏捷团队,35k,20k,27.5,网页交互设计师,交互设计
平安科技（深圳）有限公司,"['六险一金', '扁平化管理', '丰厚年终', '丰富技术交流']",不需要融资,2000人以上,深圳,15k-30k,交互,3-5年,本科,1131DP-高级/资深交互设计师,"['交互', 'UI', '设计', 'C端产品']","五险一金,绩效奖金,带薪年假,定期体检",30k,15k,22.5,网页交互设计师,交互设计
顺丰科技有限公司,"['技能培训', '节日礼物', '带薪年假', '岗位晋升']",不需要融资,2000人以上,深圳,15k-30k,交互,5-10年,本科,XSY-交互设计师（请附带作品集）,"['交互', '用户体验']",福利氛围好、线上活动运营、互联网程度高,30k,15k,22.5,无线交互设计师,交互设计
北京快看世界信息技术有限公司,"['股票期权', '年度体检', '七险一金', '带薪假期']",D轮及以上,500-2000人,北京,2k-3k,交互,应届毕业生,本科,动效设计师（实习）,"['交互', '移动交互', '设计']","七险一金,双休,免费晚餐,零食水果",3k,2k,2.5,网页交互设计师,交互设计
顺丰科技有限公司,"['技能培训', '节日礼物', '带薪年假', '岗位晋升']",不需要融资,2000人以上,深圳,15k-30k,交互,3-5年,本科,SFJ-交互设计师,['交互'],职业发展平台 弹性工作,30k,15k,22.5,无线交互设计师,交互设计
北京猿力未来科技有限公司,"['股票期权', '年底双薪', '五险一金', '带薪年假']",D轮及以上,2000人以上,北京,20k-40k,交互,不限,本科,体验设计师,"['UI', '用户体验']",imac 五一九天假 7000旅游基金,40k,20k,30.0,网页交互设计师,交互设计
顺丰科技有限公司,"['技能培训', '节日礼物', '带薪年假', '岗位晋升']",不需要融资,2000人以上,深圳,15k-30k,交互,3-5年,本科,SFJ-交互设计师,['交互'],职业发展平台 弹性工作,30k,15k,22.5,网页交互设计师,交互设计
上海熙呈照明工程设计有限公司,['无特殊要求'],未融资,50-150人,中山,3k-6k,交互,1年以下,大专,设计师,['设计'],安排住宿 专业培训 老板亲切 员工旅游,6k,3k,4.5,网页交互设计师,交互设计
北京读我科技有限公司,"['带薪年假', '交通补助', '五险一金', '住宿补贴']",C轮,2000人以上,北京,15k-25k,交互,3-5年,本科,高级交互设计师(J10561),"['交互', '移动交互']",餐补房补，发展空间大，地铁周边,25k,15k,20.0,网页交互设计师,交互设计
北京字节跳动科技有限公司,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",C轮,2000人以上,上海,20k-40k,交互,3-5年,本科,抖音产品设计师,"['UE', '交互']","六险一金,弹性工作,免费三餐,租房补贴",40k,20k,30.0,网页交互设计师,交互设计
杭州群核信息技术有限公司,"['两次加薪', '弹性工作', '期权丰厚', '两次晋升']",D轮及以上,500-2000人,杭州,17k-25k,交互,不限,不限,高级交互设计师,['交互'],上升空间、弹性工时,25k,17k,21.0,无线交互设计师,交互设计
腾讯科技（深圳）有限公司,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",上市公司,2000人以上,深圳,15k-30k,交互,1-3年,本科,腾讯视频VIP会员交互设计师,"['交互', '设计']",免费早餐、免费班车、五险一金、大平台,30k,15k,22.5,无线交互设计师,交互设计
深圳前海微众银行股份有限公司,"['技能培训', '年底双薪', '节日礼物', '绩效奖金']",未融资,2000人以上,深圳,15k-20k,交互,3-5年,本科,YZL-用户体验设计设计师(交互设计),"['互联网金融', '银行']",五险一金 绩效奖金 带薪年假,20k,15k,17.5,网页交互设计师,交互设计
腾讯科技（深圳）有限公司,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",上市公司,2000人以上,深圳,20k-40k,交互,3-5年,本科,短视频交互设计师,['交互'],从0-1创新项目，无历史包袱；成长空间大,40k,20k,30.0,无线交互设计师,交互设计
风变科技（深圳）有限公司,"['专项奖金', '带薪年假', '定期体检', '六险一金']",B轮,500-2000人,深圳,7k-12k,交互,1-3年,本科,交互设计师,"['交互', '用户体验']",平台大，上升空间大。,12k,7k,9.5,网页交互设计师,交互设计
杭州群核信息技术有限公司,"['两次加薪', '弹性工作', '期权丰厚', '两次晋升']",D轮及以上,500-2000人,杭州,13k-15k,交互,应届毕业生,本科,交互设计师-杭州,['交互'],饭补,15k,13k,14.0,无线交互设计师,交互设计
杭州群核信息技术有限公司,"['两次加薪', '弹性工作', '期权丰厚', '两次晋升']",D轮及以上,500-2000人,上海,14k-16k,交互,应届毕业生,本科,交互设计师-上海,['交互'],饭补,16k,14k,15.0,无线交互设计师,交互设计
特赞（上海）信息科技有限公司,"['技能培训', '扁平管理', '弹性工作', '全员持股']",C轮,150-500人,上海,25k-35k,交互,5-10年,本科,高级UI/UX设计师,"['UI', '用户体验', 'B端产品', '设计']",TOP级客户 宽松的发展平台 好机遇,35k,25k,30.0,网页交互设计师,交互设计
杭州米络星科技（集团）有限公司,"['年底双薪', '绩效奖金', '专项奖金', '五险一金']",不需要融资,500-2000人,杭州,10k-20k,交互,1-3年,本科,交互设计师 (MJ000272),"['电商', '交互', '用户体验']",五险一金、周末双休,20k,10k,15.0,网页交互设计师,交互设计
